기사 작성일	기사 제목	기사 url	기사 내용	언론사
21 DICEMBRE 2021	Serie tv, dall'Italia alla Corea tutte le novità per un Natale sulle piattaforme	https://www.repubblica.it/serietv/2021/12/21/news/serie_tv_natale-330988741/?ref=search	 Un Natale di serie tv. La settimana che porta al 25 dicembre è ricca di nuove uscite sulle varie piattaforme disponibili in Italia. I nuovi arrivi si sono affacciati già da ieri, con il debutto di A casa tutti bene sul canale Serie del bouquet di Sky, una produzione italiana firmata da Gabriele Muccino con un cast stellare (Francesco Scianna, Laura Morante, Valerio Aprea e Emma Marrone tra gli altri) che si ispira al suo film omonimo, un grande successo del 2018, e con la quale il regista torna dietro la macchina da presa dopo Gli anni più belli.  Mercoledì 22 debutta invece su Netflix la seconda stagione di Emily in Paris, le vicende della ventenne Emily, ambiziosa responsabile marketing di Chicago che decide di cogliere l'occasione di una vita e trasferirsi a Parigi.  Sempre mercoledì 22 ma su Disney+ ecco The Wonder Years, reboot della serie omonima anni 80 (conosciuta in Italia come Blue Jeans): l'ambientazione resta la stessa, ovvero gli anni 60, ma la storia viene riletta in chiave afroamericana, con al centro una famiglia di classe media che vive a Montgomery in Alabama.  Arriviamo alla vigilia di Natale, il 24, per tornare su Netflix dove debutta una nuova produzione sudcoreana, The Silent Sea, scritta e diretta da Choi Hang-Yong, al suo esordio come regista. Il nuovo k-drama racconta la storia di una squadra d'èlite inviata in missione speciale in una base di ricerca lunare ormai abbandonata.  La settimana si chiude domenica 26 su Sky Atlantic con Two Weeks to Live: dopo avere archiviato Game of Thrones e rifiutato l'ipotesi di uno spinoff su Arya Stark, Maisie Williams interpreta Kim Noakes, una giovane stramba e disadattata che da bambina ha perso il padre in circostanze misteriose. A seguito della morte del genitore, la madre di Kim l'ha portata a vivere in un'area di campagna remota dove ha condotto un'esistenza rurale di reclusione e bizzarre tecniche di sopravvivenza. Adesso che è cresciuta, si affaccia al mondo reale per la prima volta per intraprendere una missione segreta: rendere onore alla memoria di suo padre.	la repubblica
08 ottobre 2021	Squid Game mania la serie distopica manda in tilt la Corea	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/08/squid-game-mania-la-serie-distopica-manda-in-tilt-la-corea38.html?ref=search	Un successo planetario: è il titolo più visto su Netflix  di Ernesto Assante Un titolo sta conquistando in questi giorni il primato di serie più vista di sempre su Netflix: è Squid Game , una serie distopica sudcoreana disponibile sulla piattaforma in lingua originale con sottotitoli italiani, dalla trama semplice: 456 persone ai margini della società partecipano a un gioco che intrattiene alcuni ricchi annoiati che scommettono sui concorrenti. Devono superare sei prove da bambini (un due tre stella, o il gioco del calamaro, appunto). Chi vince sopravvive, chi perde viene ucciso subito. L'ultimo a restare in campo conquista un premio in won che equivale a circa 40 milioni di dollari.  Sembra un videogame, chi gioca a Battle Royale o Call of Duty lo sa. Assomiglia ai manga, il "look and feel" è quello. È anche Il racconto dell'ancella o Dieci piccoli indiani ma più coinvolgente perché mescola i punti di partenza e li evolve — con qualche concessione nostalgica per il pubblico adulto, come una recitazione ben nota a chi frequentava i film di kung fu — e una grafica elegante, contemporanea. Lotta di classe e campi di concentramento, follia e onore, riscatto, tradimento si intrecciano nelle storie dei singoli e della collettività con colpi di scena e azione in un racconto, diretto da Hwang Dong-hyuk, che ha la potenza del Trono di spade in un ambiente ristretto e esplosivo. Il successo è tale da animare anche una battaglia legata alla rete. Dal 17 settembre, giorno di rilascio di Squid in Corea, SK Broadband (la società che gestisce la rete internet del paese asiatico) minaccia di fare causa a Netflix perché il massiccio utilizzo di dati da parte degli utenti della piattaforma genera un costo di gestione altissimo per la società di Seoul. Secondo Sk, questi costi dovrebbero essere sostenuti in maniera significativa proprio da Netflix.  Che la Corea del Sud abbia molto da offrire s'era capito (dopo Kim Ki-duk e Park Chan-wook) con Parasite di Bong Joon-ho che, proprio come Squid, usa la violenza per affrontare il tema delle diseguaglianze sociali. Ma la serie supera i limiti dei generi, è un "survival game" che ricorda Hunger Games o Il signore delle mosche ma allo stesso tempo è completamente nuovo. E mette in luce che nel nuovo mondo digitale, in cui l'impero culturale angloamericano ha perso terreno pur restando dominante, quelle che fino a poco fa erano periferie culturali producono oggi fenomeni che rapidamente diventano planetari.  Squid è il frutto di una cultura diversa, per la quale poco importa il paese di origine: contano la forma e il contenuto in cui — quale che sia la lingua — ognuno può riconoscere la propria cultura. I giovani nati negli anni Duemila conoscono più i videogiochi che i libri, più le serie che i film al cinema, più la musica digitale che quella da scaricare o comprare. Sono figli di una cultura globale e orizzontale che non cancella le differenze ma per la quale tutto è fruibile "qui e ora" in qualsiasi parte del mondo. Anche il fatto che la serie sia in coreano con i sottotitoli ci racconta un cambiamento epocale. In Italia film e serie sono doppiati, sia per la non capillare conoscenza dell'inglese sia perché seguire i sottotitoli sposta l'attenzione distogliendo dalle immagini. È facile dire che sia seguita principalmente dal pubblico più giovane che ha familiarità con quell'immaginario e con film e serie sottotitolate. È un prodotto "generazionale", dunque, e il gap tra chi guarda e ascolta cinema, serie e musica sulle piattaforme e chi segue ancora la tv e la produzione generalista e tradizionale oggi non potrebbe essere più ampio.  ©RIPRODUZIONE RISERVATA  Gara di sopravvivenza Sopra e in basso la serie Squid Game	la repubblica
07 OTTOBRE 2021	L’attrice di Squid Game HoYeon Jung è la nuova testimonial Louis Vuitton	https://www.repubblica.it/moda-e-beauty/2021/10/07/news/squid_game_hoyeon_jung_testimonial_louis_vuitton_modella_attrice_sudcoreana-342215247/?ref=search	L’attrice e modella sudcoreana HoYeon Jung è la nuova global ambassador Louis Vuitton. Se il suo volto vi è familiare ma non riuscite a collocarlo, è perché al posto dell’elegante mantella bianca con cui posa per la maison dovete immaginarla con una tuta verde macchiata di sangue, i capelli a caschetto arruffati, lo sguardo più accigliato che mai. HoYeon Jung è infatti l’attrice di Squid Game, l’acclamatissima serie Netflix (scritta e diretta da Hwang Dong-hyuk), nella quale interpreta la protagonista femminile, la giocatrice numero 067.  La nuova testimonial Louis Vuitton è stata annunciata via social con commento di Nicolas Ghesquière: “Mi sono innamorato istantaneamente del talento e della fantastica personalità di HoYeon, e non vedo l’ora di iniziare questo nuovo capitolo del viaggio che abbiamo intrapreso”. HoYeon Jung non è nuova al mondo della moda: 27enne, vincitrice del premio ‘Asian Star Award’ agli Asian Model Awards del 2019, ha già una carriera attiva sulle passerelle internazionali, avendo sfilato e posato per Chanel, Tory Burch, Giambattista Valli, Miu Miu, Fendi, Schiaparelli, la stessa Louis Vuitton, e molti altri brand internazionali.  Anche se può suonare bizzarro, c’è un altro punto di contatto tra la serie televisiva di cui HoYeon Jung è protagonista e il mondo della moda: gli indizi puntano tutti verso un Halloween a tema Squid Game. Come era stato per La Casa di Carta, secondo la piattaforma globale di shopping Lyst le ricerche di tute retro sono aumentate del 97% nei giorni successivi alla messa in onda della serie. Impennata di ricerche anche per le calzature slip-on bianche (Vans il marchio più gettonato), che registrano un incremento del 145%, e per le t-shirt bianche numerate, che segnano un +35%. In generale, aumentano le ricerche di capi verde acqua (+130%) e di tute da lavoro rosse/rosa (+62%). 	la repubblica
14 OTTOBRE 2021	L’estetica del calamaro	https://www.repubblica.it/rubriche/la-prima-cosa-bella/2021/10/14/news/l_estetica_del_calamaro-322135085/?ref=search	 La prima cosa bella di giovedì 14 ottobre 2021 è l’estetica del calamaro, ovvero la vera, buona ragione per guardare Squid Game, la serie su Netflix di cui tutti parlano. Proprio perché tutti ne parlano (ah, la scoperta della creatività sudcoreana!) ero diffidente. Ho cominciato e annotavo i riferimenti: Hunger Games, Dreamcatcher, ovviamente Parasite e tutto quel fantasy horror con i colori delle gomme da masticare. Va bene: alterniamo il momento di azione con la riflessione sociale, una puntata ciascuno, ma perché continuiamo a guardare? Non è certo una questione morale. L’etica televisiva o cinematografica non esce dal video, sta nel fare bene le cose che accadono lì dentro. E allora c’è questa scena in cui il master del gioco (Frontman) siede davanti a un maxischermo con un bicchiere di whisky, guarda tutti quegli ometti colorati su fondo chiaro che sembrano una fotografia di Massimo Vitali, toglie l’audio e inserisce la musica jazz suonata da un carillon di figurine di legno con sembianze umane. Dieci secondi di perfezione stilistica. Poi mi sono accorto che anche io ero seduto con un bicchiere in mano a guardare, ho tolto l’audio, messo il jazz e pensato, come spesso mi accade, a chi sta oltre la nostra scatola cinese, a guardare il nostro gioco e farsi guardare da chi guarda il suo.  	la repubblica
30 NOVEMBRE 2021	Squid game' ora parla italiano. Ma il popolo dei social è diviso	https://www.repubblica.it/serietv/netflix/2021/11/30/news/squid_game_ora_parla_italiano-328415241/?ref=search	 Notizia ghiotta per i fan italiani di Squid Game: la serie sudcoreana è stata doppiata anche nella nostra lingua. A partire da oggi, 30 novembre, sulle opzioni audio del titolo Netflix sarà disponibile anche questa possibilità. A dare l'annuncio è stata la stessa piattaforma di streaming con un divertente post sulle sue pagine social.  Netflix Italia ha, infatti, pubblicato una scritta in coreano che, se tradotta, dice così: "Sappiamo che utilizzerai Google Translate. Vi informiamo che il doppiaggio italiano di Squid Game sarà disponibile dal 30 novembre".   Fino ad oggi, infatti, la serie era disponibile solo con i sottotitoli in italiano. Ma la novità, non viene salutata con lo stesso entusiasmo da tutti gli utenti social. Se da una parte c'è chi dice: "Io se voglio leggere apro un libro, se guardo una serie tv voglio potermela godere come si deve", dall'altra ci sono i 'duri e puri' che rispondono: "Non ci interessa perché noi doppiata non la vogliamo". Ma intanto, la serie che ha conquistato il mondo con i suoi giochini da bambini riprodotti in versione 'pulp', continua a macinare successi.   Con i suoi 111 milioni di utenti raggiunti (ma era il dato dello scorso ottobre), il survival game è diventanto la serie Netflix più vista di sempre e ha battuto anche la regina del piccolo schermo, Shonda Rhimes, che con Bridgerton che si è fermata 'appena' a 82 milioni. E ora ci si interroga su quando uscirà la seconda stagione.  Una ventina di giorni fa Hwang Dong-hyuk, creatore, sceneggiatore e regista coreano della serie, in un'intervista 'catturata' sul red carpet di un evento a Los Angeles dedicato alla serie televisive, si era lasciato andare davanti alle telecamere. "C’è stata molta pressione, così tanta richiesta e così tanto amore per una seconda stagione di Squid game che mi sono quasi sentito come se non avessi altra scelta!", aveva detto visibilmente contento, ma forse anche stressato. "Ci sarà assolutamente una seconda stagione. È già tutta nella mia testa", aveva spiegato lo showrunner puntandosi l'indice alla tempia, "e attualmente mi trovo nella fase del processo creativo. Ma mi sento anche di affermare che è ancora troppo presto per dire quando si concretizzera e come. Per cui, vi faccio una promessa: Gi-hun (il protagonista dello show ndr) tornerà e farà qualcosa per il mondo".	la repubblica
18 ottobre 2021	Cosa c'è di sbagliato nel fenomeno Squid Game	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/18/cosa-ce-di-sbagliato-nel-fenomeno-squid-gameAffari_e_Finanza34.html?ref=search	I l lancio è stato da record, con 111 milioni di spettatori raggiunti. E così il nuovo tormentone ai tempi di Netflix, la serie sudcoreana Squid Game, ha una viralità certificata senza precedenti. Se non l'avete ancora vista guardatela, cercando di superare i primi episodi per abituarsi a quella recitazione sopra le righe tipica di certe produzioni asiatiche che qui in genere non arrivavano. La cosa che più colpisce è il fatto che ha la stessa matrice di altri fenomeni basati grosso modo sulla medesima storia: un gruppo di persone, più o meno disperate o disparate, costrette a sopravvivere in un ambiente creato artificialmente per il divertimento di altrui. Il primo è stato il romanzo Battle Royale dello scrittore giapponese Koushun Takami uscito nel 1999 e diventato film (di culto, non c'erano ancora i social né lo streaming) nel 2000. The Hunger Games di Suzanne Collins viene dato alle stampe otto anni dopo e trasformato in saga cinematografica a partire dal 2012.  È sostanzialmente una versione fantascientifica del libro di Takami. Sempre a questo romanzo si ispira l'irlandese Brendan Greene per il suo videogame PlayerUnknown's Battlegrounds ( Pubg) che fiorisce a partire dal 2017 proprio in Corea del Sud, dove è stato sviluppato dalla Bluehole Studio, fino a trasformarsi in un fenomeno planetario. Pubg viene emulato, in tempi sorprendentemente veloci, da Fortnite della statunitense Epic Games. Un altro tormentone virale che mette in scena sempre la stessa dinamica, tanto che nel frattempo "Battle Royale" è diventato un vero e proprio genere nei videogame contagiando tutto come un virus.  Insomma, in venti anni circa abbiamo visto quattro fenomeni globali con il medesimo dna. Viene da chiedersi a questo punto chi sarà il prossimo a raccontare ancora una volta questa narrazione che ormai è un sempre verde quasi quanto gli zombie. Viene anche da domandarsi come mai ci piace tanto ascoltarla come se ogni volta fosse la prima. L'era del digitale passerà alla storia, fra le altre cose, per l'ossessiva ripetitività e Squid Game è uno dei suoi simboli. Nel bene ma forse soprattutto nel male.  ©RIPRODUZIONE RISERVATA	la repubblica
16 ottobre 2021	no titolo	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/16/rivoluzionesquid-gameRobinson38.html?ref=search	di Carlo Pizzati  più buono, quello che aiuta l'anziano, che vuole salvare l'amico d'infanzia oppure la giovane madre single scappata dalla Corea del nord. Il bene vince, ma a carissimo prezzo in un contesto terrificante che assomiglia fin troppo alla realtà.  «Per il pubblico contemporaneo, la crescente spaccatura tra ricchi e poveri si è rivelata molto puntuale. Squid Game è una storia che racconta più l'homo economicus che non l'homo sapiens», spiega Sung-ae Lee, docente di cinema coreano alla Macquarie University. «Questi personaggi pensano solo ai soldi. E noi viviamo in un'era in cui la gente segue l'ideologia neoliberale senza esserne consapevole, per questo il pubblico di tutto il mondo si riconosce in questa storia». Secondo il professor Hye-Kyng Lee del King's College di Londra: «I produttori di cultura coreani hanno una mentalità globale. I loro personaggi non hanno un futuro e faticano a sopravvivere. Propongono una critica delle condizioni socio-economiche di una società in cui molte persone oggi possono riconoscersi ».  Ecco spiegato il perché del subitaneo successo planetario del racconto di questa battaglia tra egoismo e altruismo sotto forma di giochi da cortile per bambini in versione sadica. Ma perché proprio in Corea del sud si forma questa visione pessimistica e universale di una realtà di diseguaglianze potenti e violenze orribili? La storia documenta anni di cruenta colonizzazione giapponese seguita dalla lunga guerra coreana, poi quarant'anni di dittatura, e infine la mazzata di una crisi finanziaria: una serie di eventi che lasciano cicatrici profonde, scavando differenze socio- economiche capaci di dilaniare la rete sociale, complice la mancanza di una seria regolamentazione della struttura finanziaria che ha aumentato il precariato. Suona familiare? Per questo la Corea del sud si presenta, oggi, come un modello adatto a interpretare il resto del mondo, proprio per l'acuirsi delle diseguaglianze che spiega il successo delle sue storie presso il pubblico globale.  E qui c'è da registrare anche un cambiamento importante nel racconto culturale. Mentre prima erano le scelte del pubblico americano a influenzare il resto del mondo, oggi su una piattaforma internazionale come Netflix ha sempre più peso il pubblico asiatico e globale. Quindi un racconto cinematografico da record, seppur in formato seriale, oggi deve parlare anche a questo pubblico, mentre l'audience occidentale non fa più fatica, dopo anni di Gangam Style la hit del rapper Psy, e della popolarità del K-pop e delle serie tv coreane, a riconoscersi in una narrazione con protagonisti asiatici.  Un tempo il grande cinema veniva in aiuto per interpretare i cambiamenti storici e sociali. Oggi lo fanno molto meglio le serie tv, incentrate più sui personaggi che non sugli aspetti artistici del mezzo audiovisivo, e che le fanno somigliare più ai romanzi che al cinema. Ecco spiegato il successo planetario di Squid Game: racconto di personaggi disperati, indebitati, intrappolati in un sistema in crisi, pronti ad ammazzarsi gli uni con gli altri in questo game show crudele che sembrerebbe essere la vita. Ma, poi, a vincere davvero, è solo chi resta umano. Per una sorta di divina provvidenza, questo ci dice in verità Squid Game regalando una speranza, sarà solo chi è buono a vincere davvero. E forse, nella prevedibile seconda serie, sarà proprio chi resta umano a far saltare in aria questo sistema disumanizzante.  © RIPRODUZIONE RISERVATA  j Le immagini Due fotogrammi della serie tv sudcoreana Squid Game. La serie è in onda su Netflix, al primo posto per gradimento in novanta Paesi  netflix	la repubblica
16 ottobre 2021	Attenzione questo articolo contiene SPOILER	https://ricerca.repubblica.it/repubblica/archivio/repubblica/2021/10/16/attenzione-questo-articolo-contiene-spoilerRobinson38.html?ref=search	La musica K-pop e la serie tv K-drama sudcoreane si stanno imponendo nel mondo da più di dieci anni. Dopo l'Oscar vinto dal film Parasite, ecco che la serie tv sudcoreana splatter Squid Game sta per conquistare il primato mondiale come la serie più vista nella storia della Netflix, proprio grazie al suo fascino globale. Intanto, l'Oxford English Dictionary, bastione della lingua più parlata al mondo, include 26 parole coreane nella nuova edizione.  Come mai la Corea interpreta in maniera più universale delle altre nazioni lo spirito del nostro tempo, producendo arte e cultura che influenzano il resto del mondo? La risposta a questa domanda può far capire molte cose sulla contemporaneità. Prendiamo Squid Game, girato dopo dieci anni di rifiuti dai produttori, prima d'esplodere senza neanche il bisogno di lanci pubblicitari. Questo survival thriller è al n.1 come serie più vista in 90 Paesi, ha fatto impennare del 5,2% le azioni di Netflix e se continua a crescere in visualizzazioni al ritmo attuale, a breve sarà la serie tv originale di maggior successo nella storia della piattaforma streaming. Narra la storia di 456 diseredati raccolti tra i quartieri poveri della Corea e intruppati in un'isola segreta dove devono sfidarsi in un gioco iper-competitivo che renderà milionario il vincitore. Ciò che questo branco di indebitati fino al collo non sanno è che verranno uccisi quasi tutti nella gara, ammazzati dalle regole del gioco stesso oppure gli uni con gli altri. Quindi, una volta dimezzati da un primo gioco crudele, votano per uscire dal game show. Ma gran parte dei partecipanti, una volta reintegrati nelle loro quotidianità senza speranze, decidono di tornare sull'isola per affrontare altre prove disumanizzanti. Già qui il primo messaggio è che la vita di tante persone in difficoltà economica costringe a scelte di auto-immolazione, come accade a tanti che rischiano di morire sul lavoro.  Il gioco viene finanziato da anonimi super- miliardari. Un cinese, un americano, un russo, un inglese e un francese. Sono quelli dell'1%, i "one-per-centers" la cui etica è essenzialmente egoista. Ciò fa credere loro che tutti gli esseri umani siano altrettanto spietati e che sia quindi ammissibile questo comportamento. Gli stessi carcerieri, nascosti sotto cappucci rossi e dietro maschere anonime recanti solo un simbolo per indicare la gerarchia, sono poveracci indebitati che organizzano un traffico clandestino di organi vitali estratti dalle vittime morenti, con la complicità di un chirurgo pescato tra i giocatori. In una scena rivelatrice, uno dei carcerieri si toglie la maschera e dice al medico «siamo tutti uguali, siamo tutti nella stessa situazione »: questi poveri resi brutali dalla società, come nei migliori film di Luis Buñuel, sono solo pedine per i super-miliardari che nascondono la loro identità dietro maschere animalesche ricoperte da un mosaico d'oro, mentre spiano il massacro per il proprio criminale godimento. Naturalmente, SPOILER, vincerà il giocatore	la repubblica
08 NOVEMBRE 2021	Non è colpa di Squid Game. Come proteggere i bambini dai pericoli della Rete	https://www.repubblica.it/dossier/economia/rivoluzione-telco/2021/11/08/news/minori_protezione_strumenti_digitali-325052216/?ref=search	Secondo i dati dell'indagine EU Kids online 2020 è a dieci anni che i bambini finiscono col possedere per la prima volta uno smartphone tutto per loro. Ma la realtà è che utilizzano dispositivi e strumenti di ogni genere, dei genitori, di amici e amiche o di sorelle e fratelli, fin dai primi anni d'età, e appunto non sempre sotto la (spesso svogliata) sorveglianza degli adulti. Attraverso quegli strumenti si immergono nelle mode del momento - basti pensare alla sanguinosa e surreale serie tv sudcoreana "Squid Game" e all'ingiustificato allarme emulazione, che ritorna puntualmente quando i problemi sono invece altri - e iniziano a costruire la propria identità in un continuo gioco di sovrapposizione, fra realtà fisica e digitale.  Un sondaggio condotto da Kaspersky in collaborazione con Educazione Digitale, una piattaforma didattica per gli insegnanti, su 1.833 bimbi tra i 5 e i 10 anni spiega che solo il 25% degli intervistati mette da parte il dispositivo quando è in compagnia, per giocare con gli amici senza distrazioni. Basta osservarli, ad esempio, quando sono in gruppo: smartphone e altri dispositivi sono la porta d'accesso alla comunità locale e alle passioni globali, agli equilibri di comunità e alle tendenze planetarie.  Competenza non vuol dire sicurezza Competenza tecnologica non significa però sicurezza. Sempre dall'indagine si scopre ad esempio che i bambini spesso non hanno una piena consapevolezza delle possibili conseguenze delle azioni commesse online e dei rischi che ne derivano. Un esempio banale? Il 40% ha affermato che risponderebbero tranquillamente alle domande personali del tipo "dove abiti", "dove vai a scuola" o "che lavoro fanno i tuoi genitori", rendendosi di fatto facilmente individuabile nella vita quotidiana. Numeri significativi, se si considera che il 97% degli adolescenti di 15-17 anni usa ogni giorno lo smartphone, così come il 51% dei bambini di 9-10 anni.  Non a caso, nel corso del tempo è cresciuto in modo significativo il numero di bambini e ragazzi tra i 9 e i 17 anni che hanno vissuto in rete e sui social network esperienze che li hanno turbati o fatti sentire a disagio: si è saliti dal 6% del 2013 al 13% del 2017 secondo Eu Kids online, con numeri da vedere evidentemente al rialzo nell'ultimo quinquennio. Parliamo di contenuti del tutto fuori target, razzisti, divisivi e ricchi di contenuti d'odio, pornografia, sexting che spesso sfocia nelle cosiddette "sex extortion", e l'onnipresente bullismo, che colpisce soprattutto le ragazze e i più piccoli.  I genitori devono "sporcarsi le mani" Se da una parte più tempo si trascorre online più si rischia, dall'altra è altrettanto vero che anche le competenze (non solo tecnologiche ma di contesto e appropriatezza, di prudenza e saggezza, tutte categorie immateriali che qualcuno deve insegnare con l'esempio e con la guida) aumentano. Capacità critiche che consentano di distinguere fonti e notizie vere da quelle false, abilità nel proteggere appropriatamente i contenuti personali e impostare sistemi di verifica dell'identità sicuri (ad esempio sistemi a due fattori), gestione senza ansie e stress di eventuali crisi e attacchi online: sono capacità che, appunto, maturano nel tempo. E sulle quali educatori e genitori dovrebbero insistere fin dall'inizio, "sporcandosi le mani" con i figli o i bambini che sono sotto la loro responsabilità.  Come? Non solo affiancandoli durante le sessioni online, per esempio quando esordiscono su piattaforme che non conoscono, ma anche studiandole e approfondendole per proprio conto. TikTok, YouTube, Instagram, Twitch, Snapchat e molte altre cambiano infatti di mese in mese, accolgono nuove funzionalità e arricchiscono ciò che si può fare: chi non si colleghi per tre mesi potrebbe per esempio non sapersi più orientare. Per questo è necessario trascorrerci del tempo da soli per cercare di capire, prima che accadano, quali sono i punti deboli e i rischi in cui un ragazzo o una ragazza potranno incappare. Ma farsi anche spiegare dal proprio figlio le novità, tentando di rafforzare un patto di fiducia.  Studiare gli strumenti delle piattaforme Non solo: accompagnare il proprio figlio online significa anche acquisire ulteriori competenze utili. Spesso, infatti, si punta il dito sulle piattaforme che tuttavia ormai da tempo, e in particolare nel corso dell'ultimo anno grazie alle indagini del Garante della privacy italiano, offrono numerosi strumenti per controllare la presenza online dei più piccoli, stabilire i tempi di utilizzo, approvare le applicazioni che intendono scaricare, impostare filtri sempre più granulari su quali contenuti visualizzare (ad esempio su YouTube o TikTok), vietare all'account di comunicare con estranei o adulti attraverso la messaggistica interna delle applicazioni (accade per esempio su TikTok), impostare account privati di default fino a una certa età. D'altronde in Italia la soglia minima per poter accedere a questi servizi è stata stabilita in 14 anni recependo, qualche anno fa, il Regolamento generale europeo sulla protezione dei dati personali. Ma sappiamo bene, e appunto le richieste del garante lo hanno messo in evidenza, che i social network sono pieni di bambini. E che nessuno li protegge.  Dalle infinite funzioni dell'universo Family Link di Google, per orchestrare al meglio tutte le piattaforme di Big G, fino al Safety Center di TikTok, ricco di consigli e indicazioni per approfondire i controlli dedicati alla sicurezza e alla privacy - dalla modalità con restrizioni al collegamento familiare - gli strumenti sono appunto moltissimi. Vanno approfonditi, bisogna spendere tempo nella loro calibrazione, bisogna soprattutto stringere un accordo con i propri figli verso un percorso di progressiva emancipazione dal controllo che terminerà in una libertà consapevole sempre più ampia.  Genitori ed educatori devono portare competenze relazionali, certo, ma non possono presentarsi sguarniti all'appuntamento. Servono anche delle conoscenze tecniche: ormai non implementarle è solo questione di scelta, visti i percorsi, i contenuti e appunto i tool messi a disposizione degli adulti per capire e intervenire per tempo sugli effetti collaterali degli ambienti digitali da una parte e dall'abuso del dispositivo dall'altra.  NeoConnessi, il progetto di WindTre Anche WindTre ha progettato un percorso di questo genere: si chiama NeoConnessi ed è una piattaforma pensata per accompagnare scuole e famiglie nel momento delicato in cui i bambini si trovano per la prima volta a possedere uno smartphone o un tablet e a navigare in autonomia. Tante le risorse a disposizione: un kit didattico per le scuole, un corso di formazione per i docenti, un magazine e un gruppo Facebook per i genitori ricco di articoli, approfondimenti, indicazioni tecniche di prevenzione e sicurezza, modelli di comportamento che tengono conto della relazione tra controllo e fiducia, iniziative online e offline. E il nuovo NeoConnessi Senior dedicato ai nonni, per spiegare in modo semplice e accessibile a tutti come imparare a utilizzare lo smartphone, la rete e le tecnologie digitali in sicurezza. Insomma, gli strumenti per aiutare e accompagnare i ragazzi in un'esperienza sicura sono sempre più numerosi: basta volerli usare.	la repubblica
07 OTTOBRE 2021	Squid Game', il futuro delle serie tv parla coreano	https://www.repubblica.it/serietv/netflix/2021/10/07/news/squid_game_serie_coreana-321196856/?ref=search	Un titolo sta conquistando in questi giorni il primato di serie più vista di sempre su Netflix: è Squid Game, una serie distopica sudcoreana disponibile sulla piattaforma in lingua originale con sottotitoli italiani, dalla trama semplice: 456 persone ai margini della società partecipano a un gioco che intrattiene alcuni ricchi annoiati che scommettono sui concorrenti. Devono superare sei prove da bambini (un due tre stella, o il gioco del calamaro, appunto). Chi vince sopravvive, chi perde viene ucciso subito. L'ultimo a restare in campo conquista un premio in won che equivale a circa 40 milioni di dollari.  Sembra un videogame, chi gioca a Battle Royale o Call of Duty lo sa. Assomiglia ai manga, il "look and feel" è quello. È anche Il racconto dell'ancella o Dieci piccoli indiani ma più coinvolgente perché mescola i punti di partenza e li evolve - con qualche concessione nostalgica per il pubblico adulto, come una recitazione ben nota a chi frequentava i film di kung fu - e una grafica elegante, contemporanea. Lotta di classe e campi di concentramento, follia e onore, riscatto, solidarietà, tradimento si intrecciano nelle storie dei singoli e della collettività con colpi di scena e azione in un racconto, diretto da Hwang Dong-hyuk, che ha la potenza del Trono di spade in un ambiente ristretto e esplosivo. Il successo è tale da animare anche una battaglia legata alla rete. Dal 17 settembre, giorno di rilascio di Squid in Corea, SK Broadband (la società che gestisce la rete internet del paese asiatico) minaccia di fare causa a Netflix perché il massiccio utilizzo di dati da parte degli utenti della piattaforma genera un costo di gestione altissimo per la società di Seul. Secondo Sk, questi costi dovrebbero essere sostenuti in maniera significativa proprio da Netflix.  Che la Corea del Sud abbia molto da offrire s'era capito con Parasite di Bong Joon-ho e, prima ancora, con Kim Ki-duk e Park Chan-wook. Ma la serie supera i limiti dei generi, è un "survival game" che ricorda Hunger Games o Il signore delle mosche ma allo stesso tempo è completamente nuovo. Roba "orientale"? Solo in parte: nel nuovo mondo digitale l'impero culturale angloamericano ha perso terreno, resta dominante ma è un mondo in cui da quelle che fino a poco fa erano periferie culturali arrivano oggi fenomeni che rapidamente diventano planetari. Squid è il frutto di una cultura diversa, per la quale poco importa il Paese di origine: contano la forma e il contenuto in cui - quale che sia la lingua - ognuno può riconoscere la propria cultura. I giovani nati negli anni Duemila conoscono più i videogiochi che i libri, più le serie che i film al cinema, più la musica digitale che quella da scaricare o comprare. Sono figli di una cultura globale e orizzontale che non cancella le differenze ma per la quale tutto è fruibile "qui e ora" in qualsiasi parte del mondo. Anche il fatto che la serie sia in coreano con i sottotitoli ci racconta un cambiamento epocale. In Italia film e serie sono doppiati, sia per la non capillare conoscenza dell'inglese sia perché seguire i sottotitoli sposta l'attenzione distogliendo dalle immagini. È facile dire che sia seguita principalmente dal pubblico più giovane che ha familiarità con quell'immaginario e con film e serie sottotitolate. È un prodotto "generazionale", dunque, e il gap tra chi guarda e ascolta cinema, serie e musica sulle piattaforme e chi segue ancora la tv e la produzione generalista e tradizionale oggi non potrebbe essere più ampio.	la repubblica
