,parola,count
213,scoprire,14
214,titolare,14
215,carta,14
216,girare,14
217,mostrare,14
218,schermare,14
219,4,14
220,indossare,14
221,umano,14
222,dieci,14
223,rete,14
224,riproduzione,14
225,riservato,14
226,new,13
227,sceneggiatura,13
228,violento,13
229,tuta,13
230,infatti,13
231,ben,13
232,nome,13
233,internazionale,13
234,cambiamento,13
235,durare,13
236,mano,13
237,premio,13
238,ragazzo,13
239,sottotitolo,13
240,capire,13
241,online,13
242,pachinko,13
243,ruolo,13
244,vittima,13
245,ultimare,13
246,forzare,13
247,produzione,13
248,top,12
249,band,12
250,bts,12
251,joon,12
252,york,12
253,studente,12
254,portare,12
255,2020,12
256,televisivo,12
257,korea,12
258,solo,12
259,versione,12
260,won,12
261,bisognare,12
262,subire,12
263,realizzare,12
264,natura,12
265,aprire,12
266,offrire,12
267,futuro,12
268,of,12
269,dedicare,12
270,francese,12
271,genera,12
272,americano,12
273,caso,12
274,firenze,12
275,ecco,12
276,sunja,12
277,cinematografico,12
278,campire,12
279,hoyeon,12
280,quasi,12
281,bridgerton,11
282,111,11
283,vincitore,11
284,bong,11
285,17,11
286,settembre,11
287,arrivato,11
288,tangere,11
289,continuare,11
290,456,11
291,concorrere,11
292,età,11
293,forte,11
294,cambiare,11
295,causare,11
296,parola,11
297,soprattutto,11
298,instagram,11
299,davanti,11
300,lungo,11
301,annunciare,11
302,evento,11
303,punto,11
304,programmare,11
305,destinare,11
306,festival,11
307,personale,11
308,qualcosa,11
309,7,11
310,meglio,11
311,me,11
312,infanzia,11
313,azione,11
314,14,11
315,entrare,11
316,seul,11
317,nato,11
318,familiare,11
319,puro,11
320,ciò,11
321,0,11
322,particolare,10
323,minuto,10
324,morto,10
325,basire,10
326,trattare,10
327,finire,10
328,unito,10
329,30,10
330,storico,10
331,10,10
332,lottare,10
333,violenza,10
334,verde,10
335,morire,10
336,rosso,10
337,soldo,10
338,jae,10
339,modellare,10
340,post,10
341,roma,10
342,s,10
343,dalgona,10
344,riuscire,10
345,2,10
346,ora,10
347,romanzare,10
348,bianco,10
349,2021,10
350,critico,10
351,tramare,10
352,spesso,10
353,carolina,10
354,fronte,10
355,contenere,10
356,significare,10
357,uomo,10
358,farsi,10
359,animare,10
360,dato,10
361,brand,10
362,senso,10
363,guadagnare,9
364,raggiungere,9
365,25,9
366,terzo,9
367,troppo,9
368,possibile,9
369,sopravvivenza,9
370,unico,9
371,visione,9
372,hunger,9
373,debito,9
374,aspettare,9
375,finanziario,9
376,ispirare,9
377,legato,9
378,segnare,9
379,seguito,9
380,15,9
381,louis,9
382,vuitton,9
383,estremo,9
384,rispondere,9
385,prova,9
386,ricevere,9
387,chiamare,9
388,utilizzare,9
389,crisi,9
390,categoria,9
391,perfetto,9
392,generale,9
393,dentro,9
394,mondiale,9
395,viaggiare,9
396,ce,9
397,tendenza,9
398,aiutare,9
399,imparare,9
400,economico,9
401,persino,9
402,aumentare,9
403,attenzione,9
404,parigi,9
405,sfidare,9
406,apple,9
407,kim,9
408,picchiare,9
409,musicale,9
410,liso,9
411,davvero,9
412,considerare,9
413,disponibile,9
414,sopravvivere,9
415,maniera,9
416,immaginario,9
417,gara,9
418,sistemare,9
419,tipo,9
420,minari,9
421,ragazzino,9
422,filo,9
423,dramma,8
424,hollywood,8
425,asia,8
426,cina,8
427,rischiare,8
428,registrare,8
429,nero,8
430,battaglia,8
431,lasciare,8
432,carriera,8
433,portato,8
434,miliardo,8
435,problema,8
436,pieno,8
437,maschera,8
438,messaggio,8
439,mortale,8
440,presentire,8
441,seoul,8
442,gestire,8
443,vicino,8
444,decidere,8
445,atleta,8
446,notizia,8
447,ottobre,8
448,5,8
449,mentire,8
450,vento,8
451,padre,8
452,comunità,8
453,correre,8
454,guerra,8
455,mercato,8
456,rimanere,8
457,spagnolo,8
458,neanche,8
459,dunque,8
460,contemporaneo,8
461,occasione,8
462,conoscere,8
463,giappone,8
464,immagine,8
465,compagno,8
466,scolastico,8
467,ordine,8
468,utente,8
469,j,8
470,9,8
471,impattare,8
472,fin,8
473,colpo,8
474,recitare,8
475,ovvero,8
476,frontiera,8
477,invece,8
478,quell,8
479,bambina,8
480,generare,8
481,accadere,8
482,narrazione,8
483,compagnia,8
484,ragazza,8
485,effetto,8
486,condividere,8
487,jisoo,8
488,zerocalcare,8
489,precedere,7
490,confermare,7
491,virale,7
492,tradizionale,7
493,epoca,7
494,atteso,7
495,82,7
496,riportare,7
497,uso,7
498,proibire,7
499,ingresso,7
500,intervistare,7
501,distopica,7
502,sì,7
503,progettare,7
504,classe,7
505,45,7
506,euro,7
507,controllare,7
508,mascherare,7
509,gi,7
510,hun,7
511,video,7
512,tiktok,7
513,ideare,7
514,costume,7
515,halloween,7
516,elementare,7
517,puntato,7
518,rappresentare,7
519,mare,7
520,famoso,7
521,usare,7
522,fuori,7
523,youtube,7
524,luogo,7
525,mezzo,7
526,8,7
527,alto,7
528,adattare,7
529,trionfare,7
530,awards,7
531,chiaro,7
532,conseguenza,7
533,versare,7
534,comportamento,7
535,cominciare,7
536,riconoscere,7
537,gigante,7
538,lucere,7
539,tenere,7
540,chiudere,7
541,adulto,7
542,arte,7
543,piacere,7
544,survival,7
545,riscattare,7
546,doppiato,7
547,sicuramente,7
548,studiare,7
549,divertire,7
550,amore,7
551,onore,7
552,occhio,7
553,fondazione,7
554,togliere,7
555,sicurezza,7
556,membro,7
557,ascoltare,7
558,cercare,7
559,vivo,7
560,vista,7
561,indebitare,7
562,novembre,7
563,nessuno,7
564,tale,7
565,affrontare,7
566,ricerca,7
567,gente,7
568,regalare,7
569,spirito,7
570,regola,7
571,situazione,7
572,allarme,7
573,salire,7
574,debole,7
575,insieme,7
576,pregiudizio,7
577,te,7
578,pelle,7
579,associazione,7
580,imitare,7
581,scalare,6
582,classifica,6
583,80,6
584,qualsiasi,6
585,account,6
586,mania,6
587,radiare,6
588,free,6
589,principalmente,6
590,visualizzazione,6
591,nove,6
592,90,6
593,firmare,6
594,aggiuntare,6
595,battle,6
596,royale,6
597,accettare,6
598,misterioso,6
599,montepremi,6
600,crimine,6
601,isolare,6
602,park,6
603,ricercare,6
604,centinaio,6
605,chiedere,6
606,ripresa,6
607,vietato,6
608,cibare,6
609,onda,6
610,follower,6
611,20,6
612,popolarità,6
613,strada,6
614,produttore,6
615,speranza,6
616,super,6
617,prezzo,6
618,pechino,6
619,olimpico,6
620,affermare,6
621,olimpiade,6
622,competizione,6
623,basso,6
624,coinvolgere,6
625,femminile,6
626,regio,6
627,candidatura,6
628,serata,6
629,best,6
630,adolescente,6
631,ricordo,6
632,gesto,6
633,costringere,6
634,accusare,6
635,dipendere,6
636,artista,6
637,prevedere,6
638,elegante,6
639,terra,6
640,florence,6
641,lì,6
642,rispettare,6
643,migliorare,6
644,drama,6
645,3,6
646,segreto,6
647,intrecciare,6
648,credere,6
649,saga,6
650,aprile,6
651,showrunner,6
652,appassionato,6
653,yuh,6
654,youn,6
655,jin,6
656,petizione,6
657,materno,6
658,finestra,6
659,bloccare,6
660,40,6
661,icona,6
662,estetico,6
663,dietro,6
664,nascondere,6
665,parcare,6
666,porto,6
667,curare,6
668,differenza,6
669,sparare,6
670,circolare,6
671,po,6
672,anonimo,6
673,covid,6
674,ieri,6
675,uccidere,6
676,and,6
677,partenza,6
678,sk,6
679,dominare,6
680,fruttare,6
681,ampio,6
682,voltare,6
683,chanel,6
684,creatore,6
685,los,6
686,angeles,6
687,colpire,6
688,consapevole,6
689,riconoscersi,6
690,influenzare,6
691,pronto,6
692,crudele,6
693,saltare,6
694,pescare,6
695,strumento,6
696,amico,6
697,fatto,6
698,milano,6
699,principale,6
700,politico,6
701,mancare,6
702,parere,6
703,giornata,6
704,pistola,6
705,telefonare,6
706,jennie,6
707,rosé,6
708,celine,6
709,dior,6
710,vincenzo,6
711,almeno,5
712,preso,5
713,oh,5
714,beauty,5
715,variety,5
716,esecuzione,5
717,cinque,5
718,straniero,5
719,libro,5
720,nonostante,5
721,discutere,5
722,battere,5
723,drammatico,5
724,commedia,5
725,sceneggiatore,5
726,concetto,5
727,mamma,5
728,soo,5
729,anziano,5
730,reale,5
731,oggetto,5
732,vario,5
733,signora,5
734,pandemia,5
735,27,5
736,pario,5
737,presenza,5
738,26,5
739,riconoscimento,5
740,quarto,5
741,model,5
742,sfilare,5
743,comprare,5
744,splatter,5
745,zuccherare,5
746,sorto,5
747,recere,5
748,lim,5
749,moglie,5
750,quartiere,5
751,appena,5
752,000,5
753,raro,5
754,n,5
755,intraprendere,5
756,occidentale,5
757,19,5
758,testare,5
759,bello,5
760,cinese,5
761,spirit,5
762,my,5
763,comico,5
764,chappelle,5
765,trans,5
766,minacciare,5
767,ammettere,5
768,tenero,5
769,cogliere,5
770,programmazione,5
771,scaricare,5
772,titolo,5
773,londra,5
774,invitare,5
775,fest,5
776,simbolo,5
777,generazione,5
778,passo,5
779,sfidarsi,5
780,ulteriore,5
781,finlandese,5
782,villaggio,5
783,incredibile,5
784,semplice,5
785,città,5
786,regina,5
787,maggior,5
788,spostare,5
789,ciascuno,5
790,fermare,5
791,change,5
792,onlus,5
793,corpo,5
794,mimare,5
795,proporre,5
796,sopra,5
797,eppure,5
798,qualcuno,5
799,min,5
800,valore,5
801,travolgere,5
802,giovanissimi,5
803,periodare,5
804,blackpink,5
805,style,5
806,prestare,5
807,prospettivo,5
808,relazione,5
809,quest,5
810,intorno,5
811,complesso,5
812,ovviamente,5
813,passaggio,5
814,merce,5
815,nave,5
816,no,5
817,continuo,5
818,primato,5
819,annoiato,5
820,videogame,5
821,assomigliare,5
822,mescolare,5
823,recitazione,5
824,campo,5
825,potenza,5
826,ambiente,5
827,massiccio,5
828,significativo,5
829,capitare,5
830,ki,5
831,chan,5
832,diseguaglianza,5
833,posare,5
834,sangue,5
835,innamorare,5
836,impennare,5
837,marchiare,5
838,allora,5
839,stressare,5
840,contestare,5
841,faticare,5
842,pesare,5
843,raccolto,5
844,ucciso,5
845,altrettanto,5
846,spietato,5
847,uguale,5
848,smartphone,5
849,competenza,5
850,tecnologico,5
851,consapevolezza,5
852,banca,5
853,performance,5
854,occupazione,5
855,meritare,5
856,web,5
857,grinzato,5
858,foto,5
859,perdonare,5
860,ricorrere,5
861,contrattare,5
862,istituto,5
863,daeiri,5
864,migliaio,5
865,cult,4
866,immaginare,4
867,sterminato,4
868,diffondere,4
869,tramite,4
870,interno,4
871,includere,4
872,cannes,4
873,citare,4
874,trasmettere,4
875,lavoro,4
876,approvare,4
877,eliminazione,4
878,confermato,4
879,times,4
880,thriller,4
881,sarandos,4
882,attendere,4
883,quotidiano,4
884,margine,4
885,vestito,4
886,rivisto,4
887,arricchire,4
888,guardia,4
889,diviso,4
890,seong,4
891,denaro,4
892,colorire,4
893,creare,4
894,comparire,4
895,disturbare,4
896,intanto,4
897,distretto,4
898,presidio,4
899,area,4
900,polemico,4
901,guidare,4
902,narrare,4
903,seguitare,4
904,scatenare,4
905,gran,4
906,oxford,4
907,english,4
908,dictionary,4
909,indire,4
910,google,4
911,centrare,4
912,capitalismo,4
913,dolcetto,4
914,bicarbonato,4
915,gratuito,4
916,signore,4
917,tecnico,4
918,difficile,4
919,hit,4
920,artistico,4
921,solito,4
922,acquistare,4
923,pressare,4
924,contentare,4
925,attività,4
926,negoziare,4
927,orientale,4
928,invernale,4
929,doppiare,4
930,12,4
931,prevenzione,4
932,atto,4
933,organizzazione,4
934,sede,4
935,sicuro,4
936,gyllenhaal,4
937,perduto,4
938,indipendente,4
939,22,4
940,colmare,4
941,car,4
942,finale,4
943,criminale,4
944,oscuro,4
945,omonimo,4
946,complicità,4
947,strano,4
948,anti,4
949,virtuale,4
950,closer,4
951,battuto,4
952,creativo,4
953,armare,4
954,malo,4
955,street,4
956,rapidamente,4
957,142,4
958,trimestre,4
959,scegliere,4
960,ventina,4
961,enorme,4
962,servire,4
963,commentare,4
964,tradimento,4
965,europa,4
966,sperare,4
967,interessare,4
968,prossimo,4
969,apparenza,4
970,crescita,4
971,indagine,4
972,segnalare,4
973,inoltre,4
974,comune,4
975,diffuso,4
976,emily,4
977,formazione,4
978,studiato,4
979,unire,4
980,laura,4
981,russare,4
982,mosca,4
983,amare,4
984,nipote,4
985,org,4
986,cyberbullismo,4
987,esperto,4
988,zaino,4
989,canale,4
990,vendere,4
991,attivare,4
992,rapper,4
993,statunitense,4
994,esperienza,4
995,emozione,4
996,numeroso,4
997,noto,4
998,psy,4
999,esplosivo,4
1000,datare,4
1001,distribuire,4
1002,giovedì,4
1003,hye,4
1004,ragione,4
1005,tornire,4
1006,mattina,4
1007,pressione,4
1008,insomma,4
1009,figurare,4
1010,fossa,4
1011,fuoco,4
1012,stanza,4
1013,autore,4
1014,escape,4
1015,milionario,4
1016,sera,4
1017,chilometro,4
1018,nampho,4
1019,impossibile,4
1020,pubblicità,4
1021,sbarcare,4
1022,analisi,4
1023,center,4
1024,processare,4
1025,marketing,4
1026,disney,4
1027,live,4
1028,memoria,4
1029,scommettere,4
1030,indiano,4
1031,evolvere,4
1032,follia,4
1033,singolo,4
1034,gestione,4
1035,sostenuto,4
1036,limite,4
1037,pur,4
1038,origine,4
1039,ognuno,4
1040,duemila,4
1041,capillare,4
1042,conoscenza,4
1043,maison,4
1044,asian,4
1045,award,4
1046,2019,4
1047,miu,4
1048,suonare,4
1049,acqua,4
1050,sedere,4
1051,librare,4
1052,red,4
1053,richiedere,4
1054,promettere,4
1055,divertimento,4
1056,scrittore,4
1057,fra,4
1058,oppure,4
1059,homo,4
1060,docente,4
1061,king,4
1062,condizione,4
1063,socio,4
1064,universale,4
1065,orribile,4
1066,somigliare,4
1067,prevedibile,4
1068,disumanizzante,4
1069,edizione,4
1070,domandare,4
1071,diseredato,4
1072,votare,4
1073,miliardario,4
1074,carceriere,4
1075,organizzare,4
1076,identità,4
1077,dispositivo,4
1078,equilibrio,4
1079,rischio,4
1080,fattore,4
1081,responsabilità,4
1082,necessario,4
1083,accompagnare,4
1084,percorrere,4
1085,disposizione,4
1086,sfondare,4
1087,biglietto,4
1088,arco,4
1089,novecento,4
1090,seller,4
1091,immigrato,4
1092,nonna,4
1093,lontano,4
1094,azzardare,4
1095,massimo,4
1096,specie,4
1097,valere,4
1098,racconto,4
1099,pasto,4
1100,classificare,4
1101,grato,4
1102,incollare,4
1103,urlo,4
1104,rilevare,4
1105,from,4
1106,rassegnare,4
1107,metà,4
1108,febbraio,4
1109,metropolitano,4
1110,esistere,4
1111,citato,4
1112,posto,4
1113,palio,4
1114,originalità,4
1115,classico,4
1116,statuto,4
1117,collettivo,4
1118,alternativo,4
1119,vagamente,4
1120,essa,4
1121,rignano,4
1122,preside,4
1123,silvia,4
1124,svanera,4
1125,allertare,4
1126,soggetto,4
1127,saghar,4
1128,adorare,4
1129,cerimonia,4
1130,niente,4
1131,bellezza,4
1132,spuntarla,4
1133,ripetere,4
1134,sbucare,4
1135,nominare,4
1136,marco,4
1137,sfilato,4
1138,saint,4
1139,laurent,4
1140,resa,4
1141,confino,3
1142,attirare,3
1143,distopico,3
1144,emarginato,3
1145,passaparola,3
1146,ufficialmente,3
1147,romantico,3
1148,boy,3
1149,palma,3
1150,routine,3
1151,condannare,3
1152,riferire,3
1153,chiavetta,3
1154,usb,3
1155,sorprendere,3
1156,plotone,3
1157,condannato,3
1158,impedire,3
1159,28,3
1160,esordio,3
1161,rifiuto,3
1162,compreso,3
1163,ted,3
1164,assoluto,3
1165,riflettere,3
1166,competitivo,3
1167,grottesco,3
1168,uomini,3
1169,trauma,3
1170,33,3
1171,sang,3
1172,cliente,3
1173,yeon,3
1174,malato,3
1175,nam,3
1176,dark,3
1177,centrale,3
1178,chiamata,3
1179,ansia,3
1180,ott,3
1181,probabilmente,3
1182,festa,3
1183,alunno,3
1184,violentare,3
1185,lettera,3
1186,inviato,3
1187,termine,3
1188,introduzione,3
1189,comunicare,3
1190,korean,3
1191,nordcoreano,3
1192,ambasciatrice,3
1193,gioiello,3
1194,fendere,3
1195,pasticceria,3
1196,associare,3
1197,povertà,3
1198,lato,3
1199,ombrello,3
1200,infilare,3
1201,leccare,3
1202,70,3
1203,complicato,3
1204,atmosfera,3
1205,specialmente,3
1206,pioggia,3
1207,sun,3
1208,400,3
1209,capitale,3
1210,stampare,3
1211,incontrare,3
1212,moderno,3
1213,professore,3
1214,university,3
1215,arto,3
1216,2022,3
1217,competere,3
1218,possibilità,3
1219,elemento,3
1220,sfida,3
1221,independent,3
1222,budget,3
1223,olivia,3
1224,rivelare,3
1225,afroamericano,3
1226,drive,3
1227,italo,3
1228,danese,3
1229,coinvolgimento,3
1230,venezia,3
1231,peter,3
1232,ledere,3
1233,osservare,3
1234,sinistro,3
1235,universo,3
1236,conto,3
1237,dubbio,3
1238,tradurre,3
1239,2013,3
1240,nascita,3
1241,capere,3
1242,azienda,3
1243,umanità,3
1244,adesso,3
1245,aggiungere,3
1246,preparare,3
1247,protestare,3
1248,leader,3
1249,smettere,3
1250,riguardare,3
1251,presidente,3
1252,regionale,3
1253,consegnare,3
1254,sguardo,3
1255,avanti,3
1256,audiovisivo,3
1257,sviluppare,3
1258,setta,3
1259,provenire,3
1260,difficoltà,3
1261,desiderio,3
1262,affidarsi,3
1263,autonomamente,3
1264,strutturare,3
1265,merchandising,3
1266,coprire,3
1267,contribuire,3
1268,tedesco,3
1269,ambientare,3
1270,caratterizzare,3
1271,vocabolario,3
1272,quinto,3
1273,madrid,3
1274,secolo,3
1275,vicenda,3
1276,dicembre,3
1277,espressione,3
1278,opportunità,3
1279,crown,3
1280,addirittura,3
1281,contento,3
1282,fantascienza,3
1283,tonare,3
1284,cast,3
1285,otto,3
1286,29,3
1287,basare,3
1288,hugh,3
1289,profondere,3
1290,panno,3
1291,parlamentare,3
1292,coscienza,3
1293,decina,3
1294,segnalazione,3
1295,emulare,3
1296,ivano,3
1297,zoppo,3
1298,oramai,3
1299,boys,3
1300,16,3
1301,connessione,3
1302,idol,3
1303,kblue,3
1304,carico,3
1305,aria,3
1306,ovunque,3
1307,pubblicitario,3
1308,stazione,3
1309,spingere,3
1310,comprendere,3
1311,certificare,3
1312,canzone,3
1313,solista,3
1314,personalità,3
1315,eccellenza,3
1316,gangnam,3
1317,one,3
1318,francesco,3
1319,cinematografia,3
1320,industriare,3
1321,notte,3
1322,romanzo,3
1323,scavare,3
1324,room,3
1325,farlo,3
1326,sabato,3
1327,domenica,3
1328,location,3
1329,collare,3
1330,ritenere,3
1331,assolutamente,3
1332,illegalmente,3
1333,pyongyang,3
1334,forza,3
1335,autorizzare,3
1336,chiunque,3
1337,copia,3
1338,nk,3
1339,sito,3
1340,questione,3
1341,soltanto,3
1342,fonte,3
1343,dovuto,3
1344,williams,3
1345,sky,3
1346,mercoledì,3
1347,conosciuto,3
1348,condurre,3
1349,bizzarro,3
1350,intrattenere,3
1351,equivalere,3
1352,call,3
1353,duty,3
1354,manga,3
1355,look,3
1356,feel,3
1357,ancella,3
1358,concessione,3
1359,nostalgico,3
1360,frequentare,3
1361,kung,3
1362,grafico,3
1363,concentramento,3
1364,collettività,3
1365,trono,3
1366,spada,3
1367,restringere,3
1368,rilasciare,3
1369,broadband,3
1370,internet,3
1371,costare,3
1372,altissimo,3
1373,costo,3
1374,duk,3
1375,wook,3
1376,genero,3
1377,completamente,3
1378,imperare,3
1379,angloamericano,3
1380,terreno,3
1381,periferia,3
1382,videogioco,3
1383,orizzontale,3
1384,cancellare,3
1385,fruibile,3
1386,epocale,3
1387,distogliere,3
1388,facile,3
1389,familiarità,3
1390,sottotitolate,3
1391,generazionale,3
1392,gap,3
1393,generalista,3
1394,97,3
1395,successivo,3
1396,slip,3
1397,t,3
1398,shirt,3
1399,35,3
1400,riferimento,3
1401,etico,3
1402,vitale,3
1403,audio,3
1404,stilistico,3
1405,accorgere,3
1406,novità,3
1407,entusiasmare,3
1408,leggero,3
1409,successo,3
1410,attualmente,3
1411,disperato,3
1412,né,3
1413,trasformare,3
1414,fiorire,3
1415,2017,3
1416,dinamico,3
1417,chiedersi,3
1418,documentare,3
1419,profondo,3
1420,capace,3
1421,complice,3
1422,mancanza,3
1423,intrappolare,3
1424,imporre,3
1425,fascinare,3
1426,parlato,3
1427,contemporaneità,3
1428,ritmare,3
1429,breve,3
1430,ammazzare,3
1431,auto,3
1432,indicare,3
1433,trafficare,3
1434,chirurgo,3
1435,medicare,3
1436,mosaico,3
1437,naturalmente,3
1438,spoiler,3
1439,puntualmente,3
1440,fisico,3
1441,passione,3
1442,vuol,3
1443,network,3
1444,razzista,3
1445,sex,3
1446,trascorrere,3
1447,proteggere,3
1448,impostare,3
1449,educatore,3
1450,tentare,3
1451,utile,3
1452,europeo,3
1453,evidenza,3
1454,infinito,3
1455,orchestrare,3
1456,terminare,3
1457,relazionali,3
1458,neoconnessi,3
1459,iniziativa,3
1460,roba,3
1461,investitore,3
1462,spuntare,3
1463,informazione,3
1464,operare,3
1465,maggioranza,3
1466,risultare,3
1467,hong,3
1468,tokyo,3
1469,scendere,3
1470,ottant,3
1471,pescatore,3
1472,busan,3
1473,emigrare,3
1474,osaka,3
1475,mandare,3
1476,autrice,3
1477,trilingue,3
1478,emozionare,3
1479,prepotenza,3
1480,sacrificio,3
1481,abbandonare,3
1482,migrare,3
1483,suggestione,3
1484,74,3
1485,toccare,3
1486,preparato,3
1487,cadere,3
1488,premiato,3
1489,nomination,3
1490,rivolgere,3
1491,cucinare,3
1492,nullo,3
1493,sospirare,3
1494,49,3
1495,sketch,3
1496,dibattito,3
1497,sag,3
1498,ritirare,3
1499,naturale,3
1500,set,3
1501,immobile,3
1502,stupire,3
1503,disparità,3
1504,adottare,3
1505,sportivo,3
1506,codice,3
1507,mettermi,3
1508,city,3
1509,indietro,3
1510,divertito,3
1511,melodramma,3
1512,vent,3
1513,compitare,3
1514,snodare,3
1515,spaziare,3
1516,www,3
1517,occupare,3
1518,18,3
1519,completare,3
1520,urbano,3
1521,metro,3
1522,corso,3
1523,de,3
1524,meccanismo,3
1525,mito,3
1526,davide,3
1527,indurre,3
1528,cattivo,3
1529,convinto,3
1530,anch,3
1531,evoluzione,3
1532,sponda,3
1533,inedito,3
1534,eliminare,3
1535,divenire,3
1536,cioè,3
1537,talmente,3
1538,spopolare,3
1539,tik,3
1540,tok,3
1541,opera,3
1542,tendere,3
1543,coda,3
1544,accaparrarsi,3
1545,neppure,3
1546,altezza,3
1547,scritturare,3
1548,song,3
1549,volare,3
1550,santo,3
1551,doroteo,3
1552,novara,3
1553,altrimenti,3
1554,scacco,3
1555,ui,3
1556,zona,3
1557,visitare,3
1558,giustiziare,3
1559,mila,3
1560,lussare,3
1561,ideale,3
1562,faggiano,3
1563,proporzionale,3
1564,elettorale,3
1565,democrazia,3
1566,disco,3
1567,definire,3
1568,abbronzatura,3
1569,crema,3
1570,sorpassare,2
1571,servizio,2
1572,macabro,2
1573,rendendolo,2
1574,twittato,2
1575,confrontare,2
1576,regency,2
1577,metrico,2
1578,popolarissima,2
1579,nov,2
1580,contrabbandare,2
1581,averla,2
1582,caricato,2
1583,autorità,2
1584,forzato,2
1585,licenziato,2
1586,miniera,2
1587,regime,2
1588,pensiero,2
1589,reazionario,2
1590,divulgazione,2
1591,materiale,2
1592,provvedimento,2
1593,scopare,2
1594,diffusione,2
1595,dic,2
1596,reporter,2
1597,ideatore,2
1598,kbs,2
1599,trattativa,2
1600,satira,2
1601,doppiaggio,2
1602,vederla,2
1603,sottotitolata,2
1604,co,2
1605,portarla,2
1606,benvenuto,2
1607,cnn,2
1608,distrutto,2
1609,commettere,2
1610,tirare,2
1611,giustiziato,2
1612,frontman,2
1613,armato,2
1614,squattrinato,2
1615,mantenere,2
1616,cho,2
1617,woo,2
1618,kang,2
1619,sae,2
1620,byeok,2
1621,riunire,2
1622,alare,2
1623,yeong,2
1624,pastello,2
1625,svolto,2
1626,telefonico,2
1627,ritrovato,2
1628,intenzione,2
1629,risolvere,2
1630,stress,2
1631,inviare,2
1632,abito,2
1633,restrizione,2
1634,tantissime,2
1635,preoccupazione,2
1636,inserire,2
1637,sushi,2
1638,interesse,2
1639,linguaggio,2
1640,scambiare,2
1641,boom,2
1642,trend,2
1643,popolazione,2
1644,alberta,2
1645,coppia,2
1646,modesto,2
1647,stand,2
1648,dopoguerra,2
1649,ritagliare,2
1650,forma,2
1651,caramellare,2
1652,incredibilmente,2
1653,riprodurre,2
1654,vedermi,2
1655,caramella,2
1656,sciogliere,2
1657,facilmente,2
1658,chae,2
1659,sottile,2
